picture_category,photo,example_img_link
0,,"https://i.kinja-img.com/gawker-media/image/upload/s--cJGl1vkA--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/di8zr7edqkuqac4uf2hr.jpg"
1,,"https://i.kinja-img.com/gawker-media/image/upload/s--XLNnQBJY--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/zirdp5kp5svdajppgk7o.jpg"
2,,"https://i.kinja-img.com/gawker-media/image/upload/s---Sz4SKSy--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/gwr0xeddyife2dqh4psf.jpg"
3,,"https://i.kinja-img.com/gawker-media/image/upload/s--6V6b-FCT--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/xyivvmnswnowrjnutyqk.jpg"
4,,"https://i.kinja-img.com/gawker-media/image/upload/s--_ZmdtXvn--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/s1sdiyol5s8cemnb1kpv.jpg"
5,,"https://i.kinja-img.com/gawker-media/image/upload/s--2qbCpQL6--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/zr9iuhpayd2rsqjbsvcu.jpg"
6,,"https://i.kinja-img.com/gawker-media/image/upload/s---HC0OHuu--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/jqevddy5lwhj6wky5how.jpg"
7,,"https://i.kinja-img.com/gawker-media/image/upload/s--JQDCnwRR--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/qqp49mbqhsj0xgjes6si.jpg"
8,,"https://i.kinja-img.com/gawker-media/image/upload/s--eUbhthpd--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/wql7gefy5o4oriqmsjat.jpg"
9,,"https://i.kinja-img.com/gawker-media/image/upload/s--JRSrmVzf--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/ngdrne29sr19c4tblld7.jpg"
10,,"https://i.kinja-img.com/gawker-media/image/upload/s--4NAq9NsJ--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/jhw4l8enycdgbkdv4cn9.jpg"
11,,"https://i.kinja-img.com/gawker-media/image/upload/s--5WkQk9UY--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/v1jg8oyhl69nih9s9hqg.jpg"
12,,"https://i.kinja-img.com/gawker-media/image/upload/s--wSjKvTQG--/c_fill,f_auto,fl_progressive,g_center,h_200,q_80,w_200/nmtr3b4flfw9asd9exv3.jpg"
